iter	Passed	Remaining
0	460	459871
1	562	280630
2	564	187513
3	617	153756
4	626	124639
5	683	113158
6	688	97634
7	689	85507
8	1065	117276
9	1165	115416
10	1481	133177
11	1510	124368
12	1515	115057
13	1999	140838
14	2050	134650
15	2204	135602
16	2243	129727
17	2404	131184
18	2461	127116
19	2472	121160
20	2664	124211
21	2821	125427
22	2824	119995
23	2837	115392
24	2872	112042
25	2931	109834
26	3279	118193
27	3706	128651
28	3752	125648
29	4100	132566
30	4150	129742
31	4334	131132
32	4821	141273
33	4988	141726
34	5082	140129
35	5383	144152
36	5407	140739
37	5671	143577
38	5912	145699
39	6407	153772
40	6788	158779
41	6805	155226
42	6825	151903
43	6855	148957
44	7248	153838
45	7409	153660
46	7571	153518
47	7740	153522
48	7762	150651
49	7832	148812
50	7938	147717
51	8038	146545
52	8349	149190
53	8828	154663
54	9299	159784
55	9521	160504
56	9851	162987
57	9975	162009
58	10430	166363
59	10433	163450
60	10585	162948
61	10731	162351
62	10909	162255
63	11072	161928
64	11495	165365
65	11500	162752
66	11686	162743
67	11710	160503
68	11872	160187
69	12000	159435
70	12349	161587
71	12397	159792
72	12436	157926
73	12737	159385
74	13160	162308
75	13325	162005
76	13829	165771
77	13829	163472
78	14022	163476
79	14468	166388
80	14644	166148
81	14715	164742
82	14911	164749
83	15413	168078
84	15439	166200
85	15493	164660
86	15495	162610
87	15645	162145
88	15653	160228
89	15694	158693
90	15860	158430
91	16054	158448
92	16259	158575
93	16261	156732
94	16524	157413
95	16857	158744
96	16886	157205
97	17128	157652
98	17183	156391
99	17186	154681
100	17531	156050
101	17597	154926
102	17944	156275
103	18090	155858
104	18117	154431
105	18544	156401
106	18729	156311
107	18729	154692
108	19225	157154
109	19226	155560
110	19441	155706
111	19547	154985
112	19634	154121
113	19908	154725
114	20061	154386
115	20062	152887
116	20344	153543
117	20377	152311
118	20587	152416
119	20592	151010
120	20943	152142
121	20954	150807
122	20971	149525
123	21161	149493
124	21175	148230
125	21273	147567
126	21391	147047
127	21393	145746
128	21421	144636
129	21743	145512
130	21750	144283
131	21975	144508
132	22224	144875
133	22576	145904
134	22583	144704
135	22691	144160
136	22732	143199
137	22930	143231
138	23231	143900
139	23240	142764
140	23485	143080
141	23714	143289
142	23789	142571
143	24222	143991
144	24382	143773
145	24826	145218
146	24831	144092
147	24930	143520
148	25242	144171
149	25249	143079
150	25259	142023
151	25330	141318
152	25466	140981
153	25601	140641
154	25602	139574
155	25984	140583
156	26180	140574
157	26204	139646
158	26215	138663
159	26253	137828
160	26260	136846
161	26268	135882
162	26341	135263
163	26476	134963
164	26621	134722
165	26635	133820
166	26814	133751
167	27147	134446
168	27190	133697
169	27194	132775
170	27406	132863
171	27655	133130
172	27856	133164
173	27859	132254
174	28004	132021
175	28285	132429
176	28583	132907
177	28780	132907
178	28958	132820
179	28973	131990
180	28986	131160
181	29206	131270
182	29216	130436
183	29373	130265
184	29429	129648
185	29560	129367
186	29574	128578
187	29581	127766
188	29586	126953
189	29599	126186
190	29673	125685
191	30133	126809
192	30172	126163
193	30487	126664
194	30513	125965
195	30516	125181
196	30533	124460
197	30571	123831
198	30869	124254
199	30915	123662
200	30916	122897
201	31254	123469
202	31258	122726
203	31264	121991
204	31574	122445
205	31852	122770
206	31877	122120
207	31878	121382
208	31917	120797
209	32334	121640
210	32347	120959
211	32634	121302
212	32833	121313
213	33272	122205
214	33276	121496
215	33472	121492
216	33482	120815
217	33554	120366
218	33558	119677
219	33674	119393
220	33701	118792
221	33703	118113
222	33899	118115
223	33915	117492
224	34006	117132
225	34079	116714
226	34094	116100
227	34097	115453
228	34250	115314
229	34323	114910
230	34394	114499
231	34609	114568
232	34615	113949
233	34622	113337
234	34631	112736
235	34839	112785
236	34975	112600
237	35012	112097
238	35479	112970
239	35488	112380
240	35711	112468
241	35713	111864
242	36041	112278
243	36162	112043
244	36485	112433
245	36616	112231
246	37063	112989
247	37254	112964
248	37271	112413
249	37510	112531
250	37523	111973
251	37525	111385
252	37529	110809
253	37870	111225
254	37898	110722
255	37926	110225
256	37927	109650
257	37928	109082
258	37943	108556
259	38022	108217
260	38027	107671
261	38029	107120
262	38117	106815
263	38424	107123
264	38429	106588
265	38443	106081
266	38494	105679
267	38518	105208
268	38523	104687
269	38524	104159
270	38540	103674
271	38544	103161
272	38789	103296
273	39284	104090
274	39383	103829
275	39612	103911
276	39833	103969
277	39897	103618
278	39915	103152
279	40086	103080
280	40555	103769
281	40556	103261
282	40654	103000
283	40961	103269
284	40975	102798
285	40975	102296
286	41011	101884
287	41359	102249
288	41421	101906
289	41423	101416
290	41490	101087
291	41498	100619
292	41593	100362
293	41612	99926
294	41646	99528
295	42084	100093
296	42565	100751
297	42720	100637
298	43071	100979
299	43072	100501
300	43178	100272
301	43590	100749
302	43594	100281
303	44056	100866
304	44062	100403
305	44268	100400
306	44297	99993
307	44305	99544
308	44313	99095
309	44315	98636
310	44549	98696
311	44605	98360
312	44606	97907
313	45085	98497
314	45597	99157
315	45621	98749
316	45625	98304
317	45629	97860
318	45971	98139
319	46067	97894
320	46091	97494
321	46172	97219
322	46177	96786
323	46178	96348
324	46290	96141
325	46501	96141
326	46710	96135
327	46771	95824
328	47002	95863
329	47324	96083
330	47336	95673
331	47386	95343
332	47439	95020
333	47489	94694
334	47835	94956
335	48109	95074
336	48219	94864
337	48553	95095
338	48566	94697
339	48576	94295
340	48874	94451
341	49124	94514
342	49141	94127
343	49151	93730
344	49167	93346
345	49516	93593
346	49682	93494
347	49685	93088
348	50121	93493
349	50402	93605
350	50447	93278
351	50629	93205
352	50796	93102
353	51016	93097
354	51030	92717
355	51039	92330
356	51047	91942
357	51048	91544
358	51219	91453
359	51229	91073
360	51349	90893
361	51363	90524
362	51474	90329
363	51512	90005
364	51523	89636
365	51567	89327
366	51684	89144
367	52096	89469
368	52198	89261
369	52205	88891
370	52249	88584
371	52406	88471
372	52409	88098
373	52516	87902
374	52584	87640
375	52942	87862
376	53244	87988
377	53333	87760
378	53411	87515
379	53900	87942
380	53904	87577
381	53940	87265
382	54276	87437
383	54280	87074
384	54536	87117
385	54951	87410
386	55385	87730
387	55435	87440
388	55449	87094
389	55560	86901
390	55583	86573
391	55773	86505
392	55786	86164
393	55810	85840
394	56052	85853
395	56076	85530
396	56086	85189
397	56317	85183
398	56462	85046
399	56494	84741
400	56494	84389
401	56849	84567
402	56851	84218
403	56860	83883
404	56895	83587
405	56944	83313
406	56952	82979
407	57313	83160
408	57332	82844
409	57342	82517
410	57514	82423
411	57517	82088
412	57523	81758
413	57930	81997
414	58252	82115
415	58281	81818
416	58284	81486
417	58483	81428
418	58574	81221
419	58595	80917
420	59034	81190
421	59113	80965
422	59118	80641
423	59339	80611
424	59387	80347
425	59391	80025
426	59435	79757
427	59512	79535
428	59521	79223
429	59578	78976
430	59579	78656
431	59869	78716
432	59994	78560
433	60105	78386
434	60352	78388
435	60387	78116
436	60767	78288
437	60823	78042
438	60952	77891
439	61000	77637
440	61019	77346
441	61312	77403
442	61343	77128
443	61425	76920
444	61633	76868
445	61743	76694
446	62214	76968
447	62368	76847
448	62749	77004
449	63129	77158
450	63135	76854
451	63291	76733
452	63326	76467
453	63489	76354
454	63555	76127
455	63750	76053
456	63764	75764
457	63770	75465
458	64114	75568
459	64143	75298
460	64186	75047
461	64203	74764
462	64265	74537
463	64267	74239
464	64268	73943
465	64301	73684
466	64314	73404
467	64320	73115
468	64321	72824
469	64464	72693
470	64627	72585
471	64871	72567
472	65366	72829
473	65557	72749
474	65781	72705
475	65782	72415
476	65951	72311
477	66234	72330
478	66734	72585
479	66740	72302
480	67153	72458
481	67447	72484
482	67779	72550
483	67946	72439
484	67976	72180
485	68110	72034
486	68131	71768
487	68139	71490
488	68144	71210
489	68193	70976
490	68524	71036
491	68732	70967
492	68951	70909
493	69218	70900
494	69613	71019
495	69635	70758
496	69636	70476
497	69967	70529
498	70130	70411
499	70628	70628
500	70746	70464
501	70748	70185
502	70790	69946
503	70791	69667
504	70856	69452
505	70864	69183
506	70904	68946
507	70920	68686
508	70921	68413
509	71120	68331
510	71187	68122
511	71382	68036
512	71551	67924
513	71828	67915
514	71833	67649
515	71958	67495
516	71963	67231
517	71999	66995
518	72208	66921
519	72473	66898
520	72553	66704
521	72630	66508
522	72843	66436
523	73177	66474
524	73486	66487
525	73722	66434
526	74057	66469
527	74112	66251
528	74125	65998
529	74151	65756
530	74423	65734
531	74434	65480
532	74472	65251
533	74764	65243
534	74862	65067
535	74920	64856
536	75021	64682
537	75209	64585
538	75218	64333
539	75380	64212
540	75423	63991
541	75433	63743
542	75435	63487
543	75622	63389
544	75642	63151
545	75954	63155
546	76270	63163
547	76273	62911
548	76710	63017
549	76724	62774
550	76801	62584
551	76826	62351
552	77113	62332
553	77207	62156
554	77549	62179
555	77615	61980
556	77624	61737
557	77826	61647
558	78050	61575
559	78108	61370
560	78137	61145
561	78289	61015
562	78577	60991
563	79066	61122
564	79332	61079
565	79334	60832
566	79689	60856
567	80016	60857
568	80028	60619
569	80458	60696
570	80476	60462
571	80847	60494
572	80850	60249
573	80854	60007
574	81036	59896
575	81419	59933
576	81421	59690
577	81770	59701
578	81777	59461
579	81778	59218
580	81888	59055
581	82175	59019
582	82333	58890
583	82392	58690
584	82764	58713
585	82815	58507
586	82824	58273
587	82910	58093
588	82921	57862
589	82925	57626
590	83376	57700
591	83827	57772
592	83828	57534
593	84017	57426
594	84117	57256
595	84305	57146
596	84354	56942
597	84724	56955
598	84925	56853
599	85401	56934
600	85851	56996
601	85912	56799
602	86249	56784
603	86442	56673
604	86453	56444
605	86458	56212
606	86459	55977
607	86468	55749
608	86509	55542
609	86511	55310
610	86826	55278
611	87032	55177
612	87378	55163
613	87790	55190
614	87804	54967
615	87811	54739
616	87821	54515
617	87868	54313
618	88137	54249
619	88358	54155
620	88368	53931
621	88368	53703
622	88411	53501
623	88414	53275
624	88616	53169
625	88628	52950
626	88720	52779
627	89097	52777
